id,name,screen_name,profile_url,profile_image,description,location,url,followers_count,following_count,statuses_count,created_at,batch
17868868,MargaretEWard,MargaretEWard,https://twitter.com/MargaretEWard,https://si0.twimg.com/profile_images/1359910112/56646e4a-278c-4b2d-bc6a-60ec56953e4c_normal.png,"CEO, Clear Ink & Broadly Speaking.
Loves to rock boats. Financial journalist, broadcaster (Newstalk, Irish Times, Sunday Times). NewYawka. WomenOnAir founder",Dublin Ireland,http://t.co/pRn3vnb05V,14145,7241,50202,2008-12-04 14:47:46+00:00,1
17005665,Cara,CaraLally,https://twitter.com/CaraLally,https://si0.twimg.com/profile_images/2726611327/a1c210ac0e01058e5c6b9c16f1a91518_normal.jpeg,"Like: art, music, film, theatre, travel, cooking, Ben & Jerry's, period drama, comedy, ghost stories. Dislike: ignorance, spots, being cold, being wrong",Roscommon,,687,639,19955,2008-10-27 19:55:22+00:00,1
388549595,James Cussen,JamesCsn,https://twitter.com/JamesCsn,https://si0.twimg.com/profile_images/378800000475971519/643a014702de77c67cc8f49de435a50f_normal.jpeg,IRCHSS Government of Ireland Scholar 2012-14 (UCC). I curate stupid; and study men in frocks who do bad things; 'Weirdo' -@mrs_bopp,"Cork, Ireland",http://t.co/g3tP0w67Ta,619,806,19980,2011-10-10 23:02:34+00:00,1
103141724,Jacky Wafflewaitress,Wafflewaitress,https://twitter.com/Wafflewaitress,https://si0.twimg.com/profile_images/378800000406480467/a77a51b35d23f854b58b92647a8e311d_normal.jpeg,"Head-meddler & film-buff. Breaking Bad, Sopranos and pesto addict. Available in 3d.",Sunny Eire.,,534,385,11727,2010-01-09 01:30:21+00:00,1
474199245,Marius,MariusPRA,https://twitter.com/MariusPRA,https://si0.twimg.com/profile_images/378800000439498498/b5e79a4cd6ea5e13d8a967c95d3458ca_normal.jpeg,"Here you will find my Ideas and attempts to become better at Marketing. YouTube Videos, graphic design, audio advertising. Judge my work http://t.co/TwrzBvxiLr",,,1014,1269,36,2012-01-25 19:09:27+00:00,1
1702461312,Malevolence,MalevolenceGame,https://twitter.com/MalevolenceGame,https://si0.twimg.com/profile_images/378800000365116850/d04d0505d7259584e154ea21d6dfdd7b_normal.jpeg,"Malevolence is a new choose your own adventure, interactive digital Gamebook/RPG for iPad and android with a completely original fantasy story","Dublin, Ireland",http://t.co/XVS9hqdxXX,125,567,12,2013-08-26 17:30:23+00:00,1
193773207,Diane,DianeD_,https://twitter.com/DianeD_,https://si0.twimg.com/profile_images/2708472674/065b0c56a572b4d81542865f09a3feb7_normal.jpeg,Politically unaffiliated | Barrister | General Practice with a specific interest in Child Law.,,,212,511,1451,2010-09-22 17:13:35+00:00,1
148977117,Jenny Kelly ,figgrolls,https://twitter.com/figgrolls,https://si0.twimg.com/profile_images/378800000469335095/1be15c7818d626cd385a7649f5adafc2_normal.jpeg,"Up there for thinkin', down there for dancin'...",Tipperary,,221,686,3551,2010-05-28 03:00:05+00:00,1
326869253,Samantha Kelly,Tweetinggoddess,https://twitter.com/Tweetinggoddess,https://si0.twimg.com/profile_images/3050646450/7d9d0c44122297ec26dc97b2e94f3fe2_normal.jpeg,"Mum of two Girls, , I love Dignity, Compassion, Courage.  #irishbizparty founder, Dragons Den survivor, #SBS winner. I will get you noticed!","Wexford, Eire",http://t.co/2s92lAzWPR,9286,6732,86228,2011-06-30 16:33:41+00:00,1
89998480,Paul Duggan,PaulDuggan_,https://twitter.com/PaulDuggan_,https://si0.twimg.com/profile_images/378800000478998329/826f16c64bb319688238036b406587f1_normal.jpeg,"Liberal, Fine Gael, Curmudgeon, Rogue, Rebel, Daddy. Creator and Author of Irish Shades of Grey.",Ireland,http://t.co/AdJESxsBvG,1818,862,34882,2009-11-14 19:02:47+00:00,1
